,date,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
172,2022- 01- 25,238.15,1407.25,87.45,15710.0,,5650.0
173,2022- 01- 24,233.25,1403.0,86.33,23030.0,,8170.0
174,2022- 01- 21,238.1,1414.25,86.2,12610.0,,9130.0
175,2022- 01- 20,243.8,1425.75,84.92,10090.0,,18130.0
176,2022- 01- 19,244.45,1391.25,82.3,8430.0,,11550.0
177,2022- 01- 18,239.5,1361.25,81.6,10640.0,,13290.0
178,2022- 01- 14,239.55,1356.75,80.9,8400.0,40.0,20750.0
179,2022- 01- 13,236.95,1365.25,77.85,9290.0,420.0,25690.0
180,2022- 01- 12,240.65,1391.25,78.85,10540.0,290.0,23050.0
181,2022- 01- 11,237.0,1376.75,77.85,8340.0,60.0,27280.0
182,2022- 01- 10,234.95,1374.75,78.38,8310.0,,32540.0
183,2022- 01- 07,238.3,1401.5,79.65,10020.0,,36380.0
184,2022- 01- 06,231.85,1377.25,82.95,7520.0,,23690.0
185,2022- 01- 05,231.8,1384.25,82.28,6640.0,,21710.0
186,2022- 01- 04,231.8,1378.75,80.15,8400.0,,25480.0
187,2022- 01- 03,223.3,1344.0,81.12,6460.0,,12430.0
188,2021- 12- 31,226.0,1328.75,81.47,7570.0,,13870.0
189,2021- 12- 30,228.8,1327.75,82.7,3380.0,,10970.0
190,2021- 12- 29,228.95,1356.5,83.83,2700.0,,14800.0
191,2021- 12- 28,225.65,1359.25,82.62,3140.0,,13470.0
192,2021- 12- 27,227.1,1362.5,83.65,2410.0,,9970.0
193,2021- 12- 23,231.1,1332.0,83.22,3070.0,60010.0,10640.0
194,2021- 12- 22,233.4,1328.75,83.35,3990.0,,17570.0
195,2021- 12- 21,228.2,1308.0,82.42,6490.0,,26850.0
196,2021- 12- 20,224.1,1292.25,79.47,21990.0,,12990.0
197,2021- 12- 17,234.75,1285.25,80.8,10480.0,,15350.0
198,2021- 12- 16,236.85,1277.25,80.35,14260.0,,11460.0
199,2021- 12- 15,237.3,1262.5,79.33,17260.0,,11720.0
200,2021- 12- 14,237.15,1259.5,72.18,12350.0,,1340.0
201,2021- 12- 13,236.7,1244.0,72.28,15050.0,,2610.0
202,2021- 12- 10,232.6,1267.75,73.05,23390.0,,3180.0
203,2021- 12- 09,240.2,1264.5,72.43,17140.0,,4750.0
204,2021- 12- 08,244.2,1261.0,70.83,15630.0,,4870.0
205,2021- 12- 07,243.3,1250.25,72.08,23380.0,,7510.0
206,2021- 12- 06,249.85,1261.5,72.05,21790.0,,9030.0
207,2021- 12- 03,243.35,1267.25,74.0,17780.0,,5330.0
208,2021- 12- 02,236.6,1244.25,74.4,15710.0,,8160.0
209,2021- 12- 01,233.25,1228.25,73.62,19030.0,105480.0,7650.0
210,2021- 11- 30,232.3,1217.25,73.38,24690.0,,11120.0
211,2021- 11- 29,233.0,1241.5,72.4,31190.0,,7650.0
212,2021- 11- 26,242.95,1252.75,73.2,19190.0,,7670.0
213,2021- 11- 24,245.4,1266.5,75.42,22240.0,72910.0,7580.0
214,2021- 11- 23,242.05,1273.0,74.15,25160.0,,7440.0
215,2021- 11- 22,231.3,1274.25,74.65,14990.0,,6830.0
216,2021- 11- 19,233.4,1263.25,73.75,24780.0,,13940.0
217,2021- 11- 18,229.15,1265.5,75.1,31070.0,,10850.0
218,2021- 11- 17,234.75,1277.0,76.17,34350.0,,14830.0
219,2021- 11- 16,224.5,1251.25,77.72,24320.0,,17570.0
220,2021- 11- 15,225.0,1257.25,75.8,33010.0,,11670.0
221,2021- 11- 12,221.95,1234.0,75.88,45230.0,,22760.0
222,2021- 11- 11,213.3,1212.25,75.38,39470.0,,23150.0
223,2021- 11- 10,206.7,1203.5,75.7,30510.0,,32040.0
224,2021- 11- 09,208.65,1199.5,74.95,34650.0,,23640.0
225,2021- 11- 08,202.45,1178.0,76.38,33550.0,,17770.0
226,2021- 11- 05,206.4,1192.25,76.55,33290.0,780.0,21930.0
227,2021- 11- 04,211.45,1209.25,77.88,22550.0,2680.0,21790.0
228,2021- 11- 03,212.15,1231.5,75.95,19900.0,1260.0,16390.0
229,2021- 11- 02,210.85,1244.0,74.25,19850.0,2000.0,18590.0
230,2021- 11- 01,211.45,1236.75,76.15,14330.0,3900.0,16690.0
231,2021- 10- 29,206.65,1235.75,76.07,13780.0,10990.0,25670.0
