,cu_rol7_c1,oil_rol7_c1,gas_rol7_c1,al_rol7_c1,wheat_rol7_c1,cof_rol7_c1,pk_rol7_c1,bn_rol7_c1,scaled_oil,scaled_cu,scaled_gas,scaled_wheat,scaled_pk,scaled_al,scaled_cof,kospi_cost,kospi200_cost,kosdaq_cost,kosdaq100_cost
2020- 11- 18,0.006285714285714228,0.035714285714291805,-0.02100000000000035,14.928571428571331,0.03571428571433444,0.23571428571429465,0.47142857142856087,3.321428571428669,0.023739916626062476,0.0019126276896326885,0.26914847161572053,0.3694412770809578,0.047354864275807415,0.044059218327852416,0.12719298245614036,2545.64,339.96,851.74,1749.94
2020- 11- 19,0.006999999999999673,-0.028571428571424917,-0.05099999999999971,12.071428571428669,-2.392857142857224,0.3999999999999915,0.5242857142857105,4.964285714285779,0.017595149152725895,0.001130189089328407,0.34663755458515283,0.2533157294604813,0.0319001386962552,0.028887883714959837,0.11677631578947369,2547.42,340.16,859.94,1770.31
2020- 11- 20,0.02285714285714313,-0.04142857142858247,-0.05442857142857127,10.71428571428578,-0.6785714285714448,0.3214285714285978,-0.9214285714285637,2.6071428571428896,0.03648963239673001,0.001608346011736579,0.16373362445414844,0.2211486527035948,0.4204477907667922,0.04591743175344441,0.1669407894736842,2553.5,340.62,870.18,1795.81
2020- 11- 23,0.01671428571428546,0.027142857142870014,-0.037857142857143256,6.214285714285552,1.5,-0.2571428571428669,-1.0114285714285671,-0.14285714285733775,0.03827621677223756,0.0026515974788089546,0.08205240174672489,0.1328692312308708,0.34812760055478503,0.041076296776244206,0.0962171052631579,2602.59,348.46,873.29,1804.59
2020- 11- 24,0.01814285714285724,0.21285714285713908,-0.03142857142857114,7.785714285714448,2.5357142857143344,-0.5142857142857196,-0.8471428571428561,0.6071428571428896,0.10172703156299064,0.002303846989784829,0.08842794759825327,0.11846606253375744,0.6021398850802457,0.04426704482939889,0.12678179824561403,2617.76,350.28,872.1,1785.95
2020- 11- 25,0.013285714285714345,0.2428571428571331,0.028428571428571026,2.714285714285552,-1.3928571428571104,-0.8571428571428612,-1.2671428571428578,-0.21428571428555188,0.08099182502300904,0.004390349923929581,0.009672489082969431,0.14343155494208726,0.47533188032494555,0.05008618687270015,0.1415844298245614,2601.54,348.3,865.12,1790.32
2020- 11- 26,0.02068571428571442,0.2142857142857224,0.03400000000000025,-0.21428571428555188,-1.0528571428571922,-0.6428571428571246,-1.2814285714285774,5.464285714285552,0.05403064262898598,0.003564442512497283,0.10622270742358078,0.09362059653123687,0.3841886269070735,0.04970720913458599,0.1137609649122807,2625.91,352.12,874.53,1816.79
2020- 11- 27,0.029785714285714082,0.19428571428571928,0.018714285714285683,0.0714285714284415,-0.1785714285714448,-0.45714285714286973,-1.6571428571428442,4.25,0.027069460234962914,0.0027385351010649856,0.20277292576419212,0.043809638120386483,0.41727759064790965,0.049328231396471835,0.1558388157894737,2633.45,352.73,885.56,1847.97
2020- 11- 30,0.03214285714285747,0.20428571428571018,0.041428571428571814,7.5,-1.6428571428571104,-0.5428571428571445,-1.6271428571428714,3.9285714285715585,0.0418223160630177,0.0006085633557922192,0.31655021834061137,0.006301386304987097,0.27917574796909056,0.0716756928568809,0.08580043859649122,2591.34,346.05,886.11,1845.7
2020- 12- 01,0.026071428571428523,0.06142857142857139,0.032857142857142474,10.21428571428578,-3.9642857142856656,-0.3928571428571388,-0.3042857142857116,3.6428571428571104,0.034594770180282605,0.0015648772006085635,0.2979694323144105,0.0032407129568505074,0.3570437883891421,0.06300810523356032,0.14514802631578946,2634.25,352.4,891.29,1863.66
2020- 12- 02,0.03135714285714286,0.05142857142857338,0.00985714285714323,11.64285714285711,-2.9642857142857792,-0.06428571428573093,-0.30714285714284983,4.60714285714289,0.0443127064046343,0.0005216257335361879,0.30934497816593887,0.0004801056232371122,0.3330691499900931,0.05321580948422352,0.12020285087719298,2675.9,358.66,899.34,1887.0
2020- 12- 03,0.025571428571428356,-0.10285714285714675,-0.038285714285715144,5.9285714285715585,-5.64285714285711,-0.17857142857140218,-0.7199999999999989,0.4285714285713311,0.04964539007092199,0.0003042816778961095,0.5859388646288209,0.0009602112464742244,0.3057261739647315,0.05614983068252668,0.12801535087719298,2696.22,361.66,907.61,1929.54
2020- 12- 04,0.028999999999999915,-0.1071428571428612,-0.04585714285714193,10.571428571428442,-3.1071428571428896,-0.08571428571431738,-0.518571428571434,-1.75,0.0610957717503113,0.0001738752445120626,0.30858078602620087,0.0003600792174278341,0.3586288884485833,0.029132385481485102,0.16639254385964913,2731.45,367.63,913.76,1965.37
2020- 12- 07,0.023742857142857066,-0.05857142857141895,-0.07485714285714318,5.85714285714289,-2.3757142857142526,-0.02142857142855803,-0.5171428571428578,-2.2142857142857792,0.05121541876454983,0.00021734405564007828,0.5141266375545851,0.00012002640580927805,0.3570437883891421,0.02831330456362547,0.18599232456140352,2745.44,369.86,926.88,2030.17
2020- 12- 08,0.012071428571428733,-0.06285714285715471,-0.06342857142857117,-1.2142857142857792,-4.678571428571445,-0.5785714285714221,-0.035714285714291805,-3.2857142857142208,0.03399924205511342,0.0003042816778961095,0.3852183406113537,0.00012002640580927805,0.3287101248266297,0.03745767063167031,0.19476425438596492,2700.93,363.45,906.84,1942.01
2020- 12- 09,0.01100000000000012,-0.02999999999999403,-0.06285714285714317,-1.4285714285713311,-0.46428571428566556,-0.33571428571428896,-0.232857142857128,-3.5357142857142208,0.05273130853770776,0.0003477504890241252,0.4016375545851528,6.001320290463902e-05,0.3086982365761839,0.03698089218694605,0.22916666666666666,2755.47,371.47,913.81,1966.21
2020- 12- 10,0.013214285714285623,0.14857142857142946,-0.046714285714285264,-0.6428571428571104,3.5357142857142208,-0.5285714285714249,-0.20000000000000284,-1.25,0.07197769476476638,0.0002608128667680939,0.46781659388646285,6.001320290463902e-05,0.260748959778086,0.029951466399344734,0.1796875,2746.46,369.37,921.7,2000.94
2020- 12- 11,0.005928571428571061,0.10571428571428498,-0.02700000000000058,-4.64285714285711,4.321428571428555,-0.15714285714285836,-0.032857142857153576,2.7857142857142208,0.05086351578149532,0.0003042816778961095,0.38539301310043667,6.001320290463902e-05,0.36754507628294036,0.03195638088485189,0.3292214912280702,2770.06,372.24,928.44,2012.32
2020- 12- 14,0.00535714285714306,0.22571428571428243,0.02499999999999991,2.714285714285552,3.1071428571428896,0.25,-0.21142857142855576,5.89285714285711,0.045016512370743327,0.0006955009780482504,0.3094759825327511,0.00012002640580927805,0.6330493362393502,0.03173632929497915,0.3007127192982456,2762.2,371.56,929.54,2021.65
2020- 12- 15,0.0030000000000001137,0.18428571428572127,0.015285714285715013,-2.0714285714284415,4.75,0.33571428571427475,-0.0028571428571524393,7.60714285714289,0.04777759731470955,0.0006085633557922192,0.29781659388646287,0.30858788933565384,0.5068357440063405,0.027164146260956732,0.3266173245614035,2756.82,370.88,931.27,2023.76
2020- 12- 16,0.006214285714285506,0.1971428571428575,0.03871428571428526,2.5714285714284415,3.8928571428571104,0.45000000000001705,-0.06571428571427873,11.678571428571558,0.02682583509284825,0.0003042816778961095,0.27897379912663756,0.3389545700054012,0.4741430552803646,0.038643504199317835,0.4161184210526316,2771.79,372.53,939.65,2039.03
2020- 12- 17,0.014785714285714402,0.27142857142857224,0.033857142857142364,9.0,6.428571428571445,0.942857142857136,-0.16428571428571104,13.214285714285552,0.025688917762979806,8.69376222560313e-05,0.33414847161572053,0.2606373402148473,0.5359619575985735,0.09388867834570105,0.4184484649122807,2770.43,372.0,944.04,2049.91
2020- 12- 18,0.017071428571428626,0.31857142857142406,0.036857142857143366,3.071428571428669,4.464285714285779,0.9857142857142804,0.057142857142849834,11.14285714285711,0.0440149423420497,0.0004781569224081721,0.26305676855895194,0.25307567664886277,0.5294234198533784,0.03309331409919437,0.4295504385964912,2772.18,371.55,947.24,2057.26
2020- 12- 21,0.0004285714285718889,0.1414285714285768,0.021714285714285797,-5.64285714285711,3.0,0.9357142857142833,-0.20714285714285552,8.928571428571558,0.035785826430620976,0.0003912193001521409,0.22504366812227072,0.2905839284642622,0.3570437883891421,0.033961295370359044,0.28207236842105265,2778.65,372.18,953.58,2091.67
2020- 12- 22,-0.001000000000000334,0.08142857142856741,0.02699999999999969,-3.8571428571428896,1.25,1.4714285714285893,-0.32428571428572184,7.39285714285711,0.028477072167180987,0.0018256900673766575,0.2435371179039301,0.33025265558422856,0.24648305924311475,0.04589298157679189,0.5061677631578948,2733.68,366.43,928.73,2031.92
2020- 12- 23,0.004428571428571448,0.13857142857143145,-0.010571428571428232,-5.85714285714289,5.178571428571331,1.435714285714269,0.09000000000000341,10.178571428571331,0.020464511937631963,0.0003912193001521409,0.21290393013100434,0.41715177339014586,0.2698632851198732,0.034401398550104524,0.5326206140350878,2759.82,371.32,923.17,2019.94
2020- 12- 24,0.0027857142857143913,0.10142857142857054,-0.023428571428571576,0.07142857142866887,3.892857142857224,1.90000000000002,0.028571428571424917,10.10714285714289,0.006929781820150506,0.00021734405564007828,0.0846943231441048,0.21400708155794276,0.13295026748563504,0.015281360407828945,0.5291940789473685,2806.86,379.18,928.68,2036.48
2020- 12- 28,0.0017857142857145014,0.011428571428567125,-0.05314285714285738,-3.5,2.25,1.8857142857142861,-0.20285714285714107,5.60714285714289,0.015483731254398787,0.0002608128667680939,0.10497816593886462,0.32125067514853267,0.19258965722211216,0.02734752258585068,0.3041392543859649,2808.6,379.93,927.0,2048.41
2020- 12- 29,-0.006642857142857395,-0.04000000000000625,-0.02414285714285702,-8.85714285714289,1.3928571428571104,0.8714285714285523,-0.09714285714285609,5.39285714285711,0.01310161875372205,0.0009563138448163444,0.004519650655021834,0.2125667646882314,0.1993263324747375,0.039413684763872414,0.36293859649122806,2820.51,381.27,957.41,2113.05
2020- 12- 30,-0.011571428571428566,-0.0814285714285603,-0.03971428571428559,-8.14285714285711,4.64285714285711,0.5857142857142748,-0.12142857142856656,7.785714285714448,0.022061610091494776,0.169484894588133,0.1759606986899563,0.4299945988117386,0.2229046958589261,0.019266739202190734,0.2616502192982456,2873.47,389.29,968.42,2110.46
2021- 01- 04,-7.142857142872217e-05,-0.0628571428571405,-0.0038571428571430033,3.6428571428571104,1.75,0.6714285714285637,0.04999999999999716,3.1428571428571104,0.029857614639164094,0.34153444903281893,0.27768558951965067,0.4007681689971794,0.06419655240737072,0.04471937309747063,0.3734923245614035,2944.45,399.88,977.62,2092.01
2021- 01- 05,0.011142857142857121,0.03285714285714647,0.02628571428571469,1.5,3.857142857142776,0.06428571428571672,0.25428571428571445,-1.0357142857142208,0.10613935358128959,0.2865898717670072,0.3245196506550218,0.48712716797695493,0.16623736873390135,0.030110392547586157,0.33168859649122806,2990.57,406.03,985.76,2100.37
2021- 01- 06,0.0114999999999994,0.06714285714286206,0.05871428571428572,4.0,4.75,-0.6785714285714306,0.46714285714286063,-2.2142857142857792,0.09915543284066916,0.4043903499239296,0.313296943231441,0.36518033967472846,0.11591044184664158,0.05173657379674568,0.36115679824561403,2968.21,402.08,981.39,2075.71
2021- 01- 07,0.020357142857143185,0.07714285714286007,0.03742857142857137,6.5,3.392857142857224,0.14999999999999147,0.31857142857141696,-4.0,0.065697579990255,0.2767224516409476,0.2931877729257642,0.28500270059413074,0.10184267881910047,0.028129928238731523,0.29317434210526316,3031.68,410.81,988.86,2086.54
2021- 01- 08,0.017785714285714516,0.16571428571428015,0.03971428571428559,3.1428571428571104,-0.28571428571433444,0.4285714285714448,0.15428571428572013,-3.3214285714284415,0.05584429646472849,0.46237774396870246,0.322117903930131,0.3369141211066435,0.09570041608876562,0.02772650032396484,0.18571820175438597,3152.18,430.22,987.79,2108.09
2021- 01- 11,0.00649999999999995,0.2128571428571533,0.02971428571428536,4.285714285714448,-0.8214285714285552,0.23571428571426623,0.08285714285715073,-4.035714285714221,0.03397217259487846,0.41369267550532496,0.3843886462882096,0.3484966692672388,0.13334654250049535,0.03232313353463979,0.21162280701754385,3148.45,431.13,976.63,2116.85
2021- 01- 12,0.012214285714285733,0.31785714285713595,0.027571428571429024,2.0,3.321428571428555,0.27857142857143913,-0.2385714285714471,-3.6428571428573377,0.04507065129121325,0.34009997826559446,0.4371834061135371,0.48262617775910704,0.0889637408361403,0.03722539395347131,0.2831688596491228,3125.95,427.87,973.72,2107.73
2021- 01- 13,0.008928571428571619,0.404285714285713,0.020857142857142907,-2.6428571428571104,2.6428571428571104,-0.7071428571428413,-0.18999999999999773,-6.5714285714284415,0.052947864219587464,0.2818952401651815,0.36689956331877727,0.4844265738462462,0.0647909649296612,0.03156517805841147,0.1958607456140351,3148.29,430.38,979.13,2112.51
2021- 01- 14,0.0035714285714281147,0.3057142857142807,-0.005142857142857338,-5.0,2.2857142857143344,-0.8928571428571672,-0.35142857142857054,-1.4285714285715585,0.06615776081424936,0.3100195609650076,0.3533624454148471,0.379883574386365,0.05884683970675649,0.03156517805841147,0.18667763157894737,3149.93,429.85,980.29,2088.52
2021- 01- 15,-0.006928571428571395,0.27142857142857224,0.0029999999999996696,-6.785714285714448,4.0,0.37142857142858077,-0.3100000000000023,-1.3214285714284415,0.04853554220128851,0.3171484459900022,0.3270524017467249,0.46480225649642926,0.055676639587873986,0.03474370102323989,0.29385964912280704,3085.9,420.43,964.44,2034.32
2021- 01- 18,-0.008100000000000218,0.6957142857142884,-0.008999999999999897,-7.0714285714284415,4.9404761904763745,0.8714285714285666,-0.16142857142858702,0.1785714285715585,0.04617147600743508,0.4252119104542491,0.41485443959243085,0.4089899777951149,0.02853180106994254,0.04058729324319368,0.3275767543859649,3013.93,410.5,944.67,1991.87
2021- 01- 19,0.00985714285714323,0.09285714285714164,-0.028714285714285914,-6.5,5.357142857142776,1.0142857142857338,0.08142857142857451,3.0357142857142208,0.04498944291050837,0.47924364268637254,0.4587554585152838,0.3810838384444578,0.2793738854765207,0.04350908935317057,0.2974232456140351,3092.66,421.35,957.75,2010.8
2021- 01- 20,0.005142857142857338,-0.0014285714285620088,-0.03057142857142825,-5.571428571428669,0.39285714285722406,1.0714285714285552,0.21000000000000796,3.6071428571428896,0.057982783823290564,0.22655944359921756,0.28873362445414846,0.3962671787793315,0.273429760253616,0.029254636364747733,0.2412280701754386,3114.55,424.01,977.66,2057.85
2021- 01- 21,0.004357142857142726,-0.0714285714285694,-0.03371428571428581,-2.214285714285552,0.03571428571422075,1.0499999999999972,0.13571428571428612,7.928571428571331,0.033295436089004385,0.23481851771354054,0.2164192139737991,0.3013262917841925,0.1979393699227264,0.04465824765583931,0.18297697368421054,3160.84,430.27,981.4,2050.4
2021- 01- 22,-0.0055000000000005045,-0.16714285714286348,-0.03142857142857114,-1.5714285714286689,-5.071428571428555,1.171428571428578,0.09714285714285609,8.785714285714448,0.05013264035515132,0.35700934579439253,0.13674672489082967,0.4609614115105323,0.17257776897166635,0.035391630704531836,0.24588815789473684,3140.63,427.13,979.98,2051.81
2021- 01- 25,0.0039285714285717255,-0.05571428571428072,-0.019285714285714572,3.0,-3.8571428571428896,0.7357142857143089,0.1599999999999966,12.928571428571331,0.02853121108765091,0.27702673331884375,0.09124454148471615,0.38840544919882375,0.19140083217753123,0.03315443954082568,0.07922149122807018,3208.99,437.3,999.3,2114.36
2021- 01- 26,0.00621428571428595,-0.6271428571428572,0.0022857142857142243,5.5,-1.3095238095238528,0.6499999999999915,0.19428571428571217,12.39285714285711,0.02701532131449299,0.26207346229080636,0.06775109170305676,0.41025025505611235,0.2032890826233406,0.031418476998496314,0.07839912280701755,3140.31,426.73,994.0,2098.1
2021- 01- 27,-0.00847142857142913,-0.6085714285714374,0.01757142857142835,2.8571428571428896,-2.1547619047618127,0.04285714285714448,0.4214285714285779,12.75,0.045774457257322286,0.45711801782221256,0.009432314410480348,0.32521154654023887,0.31622746185852985,0.032213107739703414,0.04536732456140351,3122.56,423.67,985.92,2080.85
2021- 01- 28,-0.00764285714285684,-0.09285714285713453,0.016857142857143348,2.928571428571331,-3.6071428571428896,0.4571428571428413,0.0714285714285694,11.321428571428669,0.040874884954794,0.0005650945446642034,0.3463318777292576,0.39266638660505315,0.16762433128591245,0.03335004095404589,0.025219298245614037,3069.05,416.4,961.23,2034.59
2021- 01- 29,-0.011928571428571288,-0.09857142857143941,0.0035714285714281147,-0.4285714285713311,-0.6785714285714448,-0.18571428571426907,0.07571428571428385,10.21428571428578,0.032375074441015644,0.0012171267115844383,0.2881659388646288,0.3609794154714037,0.1993263324747375,0.04424259465274636,0.06140350877192983,2976.21,404.56,928.73,1966.29
2021- 02- 01,-0.01457142857142868,0.035714285714291805,0.0512857142857146,-4.071428571428669,-1.3928571428571104,0.09999999999999432,0.24285714285714732,13.464285714285552,0.034026311515348386,0.0003477504890241252,0.5293886462882096,0.3348736722078858,0.2522290469585893,0.04451154659592415,0.050027412280701754,3056.53,415.45,956.92,2051.58
