,date,cu_cost,oil_cost,gas_cost,wheat_cost,al_cost,cu_vol,wheat_vol,gas_vol,oil_vol,al_vol,kospi_cost,kospi_vol,kospi200_cost,kospi200_vol,kosdaq_cost,kosdaq_vol,kosdaq100_cost,kosdaq100_vol,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
75,2022- 06- 21,4.0445,101.07,6.808,975.25,2533.5,1040.0,,120010.0,76090.0,51390.0,2408.93,479680000.0,316.38,120060000.0,778.3,1030000000.0,1580.43,48520000.0,232.35,1681.0,112.72,30340.0,,14460.0
76,2022- 06- 20,4.011,108.84,6.713,,2527.0,,,,,,2391.03,592700000.0,314.44,151130000.0,769.92,989360000.0,1559.51,36420000.0,,,,,,
77,2022- 06- 19,4.0375,108.94,6.702,,,,,,,,,,,,,,,,,,,,,
78,2022- 06- 17,4.022,99.76,6.944,1034.25,2498.0,360.0,42370.0,103760.0,103890.0,40740.0,2440.93,634900000.0,320.09,197270000.0,798.69,972930000.0,1599.99,35880000.0,227.4,1702.0,111.0,16450.0,84650.0,11750.0
79,2022- 06- 16,4.118,106.04,7.464,1078.25,2504.5,1590.0,,137430.0,93610.0,56340.0,2451.41,584040000.0,322.25,138750000.0,802.15,997610000.0,1605.59,35950000.0,231.8,1709.5,109.58,14330.0,,9710.0
80,2022- 06- 15,4.1735,104.31,7.42,1050.0,2592.5,500.0,,123590.0,77640.0,46510.0,2447.38,714140000.0,322.21,159360000.0,799.41,1200000000.0,1591.99,39760000.0,228.5,1693.75,108.28,18480.0,,13100.0
81,2022- 06- 14,4.1665,106.36,7.189,1050.25,2570.0,540.0,,273720.0,82950.0,51080.0,2492.97,671760000.0,328.23,174250000.0,823.58,1270000000.0,1637.73,50010000.0,226.9,1698.5,108.45,19990.0,,2100.0
82,2022- 06- 13,4.2195,108.1,8.609,1071.0,2628.0,170.0,,167560.0,71810.0,61180.0,2504.51,660310000.0,329.88,163800000.0,828.77,1260000000.0,1637.43,50870000.0,223.45,1707.5,108.0,31280.0,,3010.0
83,2022- 06- 10,4.3025,108.22,8.85,1070.75,2680.0,270.0,,134610.0,74730.0,44180.0,2595.87,724090000.0,341.89,136210000.0,869.86,1210000000.0,1705.63,58940000.0,228.8,1745.5,107.8,37210.0,,2390.0
84,2022- 06- 09,4.386,109.51,8.963,1071.25,2761.0,100.0,,244480.0,50920.0,41390.0,2625.44,814880000.0,346.62,191390000.0,877.18,1270000000.0,1728.47,60990000.0,234.8,1769.0,106.97,19560.0,,4200.0
85,2022- 06- 08,4.4545,109.95,8.699,1074.75,2819.0,360.0,68010.0,250300.0,60400.0,35340.0,2626.15,576390000.0,346.22,123300000.0,874.95,1340000000.0,1711.4,28590000.0,232.0,1740.0,107.85,19470.0,138390.0,4200.0
86,2022- 06- 07,4.4395,107.58,9.293,1071.75,2778.5,300.0,,140030.0,66740.0,39600.0,2626.34,524710000.00000006,345.67,135310000.0,873.78,1120000000.0,1707.41,30270000.0,232.35,1728.25,108.42,24490.0,,5650.0
